ID,Name,Parent.ID,Parent.Name,Total.Transactions,Payment.BTC,Payment.USD.equivalent,Commission.BTC,Commission.USD.equivalent
324,Ayahuasca,12,DMT,50,45.03,5294,4.21,487
543,Indica dominant,22,Weed,19284,50509.06,3014690,3583.61,204684
544,Sativa dominant,22,Weed,21486,91849.67,2726048,7180.80,201218
549,Unk. genotypes,22,Weed,14174,21047.67,1373724,1603.51,101834
545,Hybrids,22,Weed,11567,29935.69,1156072,2528.43,93838
546,High CBD,22,Weed,454,329.16,30187,28.02,2564
24,Oils,25,Concentrates,6475,21098.53,803393,1581.93,58935
550,Wax,25,Concentrates,1320,1310.31,148298,101.83,11504
552,Shatter,25,Concentrates,723,1012.99,94127,73.58,7131
551,Kief,25,Concentrates,652,2012.02,53487,170.98,4138
553,Iceolator,25,Concentrates,433,539.38,42828,46.96,3432
555,Budder,25,Concentrates,205,509.17,20589,42.14,1705
554,Capsules,26,Edibles,279,392.80,40465,31.39,3125
34,White,33,MDMA,12120,141298.01,2046389,9083.26,133502
35,Tan,33,MDMA,9056,84343.45,1773475,5026.99,96516
471,Capsules,33,MDMA,1248,1635.22,135675,137.70,11111
71,Crystal / Powder,40,Mescaline,1515,10261.28,162800,481.03,11948
73,San Pedro,40,Mescaline,118,126.90,6874,11.12,597
72,Peyote,40,Mescaline,60,52.83,5523,4.51,464
12,DMT,41,Psychedelics,21130,75571.14,1533975,5987.67,124194
